id,roa,stake,luck,blocks,pledge
pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n,2.912,40015031010711,0.985,27,3701091872198
pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,2.948,70471405513204,0.98,37,1340017234650
pool19lz8nyz0jjpdrdtnjaar4untk4th23gpg5s7aegn7480zff4vgq,2.441,49172009676305,0.954,33,105608996358
pool15ccmgcc4k9t8auxw9v4dfjmrl2kqnuevawn8z6n7xv09utw9hh3,3.084,41999147429773,0.987,30,300018543195
pool137x32lrkprphrd0aa8x4jqz98z6lc0wawlc88hdjeps4qe408ad,1.773,2049692668152,1.058,1,5235998972
pool14mma26pz4v888lrxtlzm22vjd68h5hd89kj7jaag6knx7x3k5ed,1.143,325955637754,1.021,0,10793986260
pool1qqqyv9pn9typyqwcxqk5ewpxy5p27g5j2ms58hpp2c2kuzs5z77,2.738,40479479995551,1.011,33,153021947585
pool13hxlxd6qa68fmfhrvvmasa0mjg30tj9p5v2lmgmgsmrp2rgzkfp,3.237,71646875665039,1.037,38,268372257122
pool1gf8a46j6hvhad8e48hez4084x34snpua8k7t3kzy9w42q6w60z8,4.673,140447425114,0.768,0,8618388142
pool1wpmjtfqcwvtcs9znpuulk99yk2zz6pfh0c4k9f2xlcspgqjndk2,2.298,48211559180229,0.958,28,105072480622
pool14fjmlppz76667ws3jl5luejf2wgztuhpsftulvh3ucc65anqgve,2.987,44118809640210,0.998,36,32447287345
pool10tqeu6d03p6rnalqlvdshmpsljxaq2c0ww6draq6xm8lgyl2a3p,3.016,47928918514228,0.994,36,100002249292
pool14zdcvdec8qmqzsat5wg3a2h9f0u5yzrgjew534z8u3gs5durnjz,2.928,36559510760098,0.938,31,100060572255
pool1q7wrwstqkzhrffdzpw8ftfd4epmxywdjnp8384atjcnezchv242,2.642,4212449267935,1.024,2,11438377841
pool1tpy5yawzpetcverves0h6xdycxgrstehfvrkygydt9jcqxwpw3j,2.974,40679916638937,1.007,22,1008947088222
pool1cq25dmlt5974x8tqg3e4dlzvrxefcce2atpnwlfp7ad5ugec9fp,2.899,43282660997982,0.992,41,1502948091067
pool1m3gg43uhtetn4hmw79u8836dyq8qe4cex8qnn6mks5egza7n6tp,2.828,2917256407372,1.012,2,3092088853
pool1qtrmcca06yuu5tm9zfv6hantkm2xqhl24hnmg8knmx7pjt2cw7m,0.574,245464444071,0.952,1,10027960878
pool1vquhv3kh6xkklckaenl8alyuhfsld57ef5573aqauueyqacx4ak,2.939,33099276891980,0.967,23,501910373307
